,Name,Artists
0,Rockstar,"Post Malone,21 Savage"
1,Havana,"Camila Cabello,Young Thug"
2,Bodak Yellow (Money Moves),Cardi B
3,Too Good At Goodbyes,Sam Smith
4,Thunder,Imagine Dragons
5,1-800-273-8255,"Logic,Alessia Cara,Khalid"
6,Feel It Still,Portugal. The Man
7,Perfect,Ed Sheeran
8,What Lovers Do,"Maroon 5,SZA"
9,Mi Gente,"J Balvin,Willy William,Beyonce"
10,Sorry Not Sorry,Demi Lovato
11,Gucci Gang,Lil Pump
12,No Limit,"G-Eazy,A$AP Rocky,Cardi B"
13,I Get The Bag,"Gucci Mane,Migos"
14,Bank Account,21 Savage
15,Unforgettable,"French Montana,Swae Lee"
16,What About Us,P!nk
17,Despacito,"Luis Fonsi,Daddy Yankee,Justin Bieber"
18,Attention,Charlie Puth
19,Bad At Love,Halsey
20,New Rules,Dua Lipa
21,Rake It Up,"Yo Gotti,Nicki Minaj"
22,MotorSport,"Migos, Nicki Minaj,Cardi B"
23,Believer,Imagine Dragons
24,Young Dumb & Broke,Khalid
25,Shape Of You,Ed Sheeran
26,Call It What You Want,Taylor Swift
27,Praying,Kesha
28,I Fall Apart,Post Malone
29,...Ready For It?,Taylor Swift
30,The Way Life Goes,"Lil Uzi Vert,Oh Wonder"
31,Strip That Down,"Liam Payne,Quavo"
32,There's Nothing Holdin' Me Back,Shawn Mendes
33,Slow Hands,Niall Horan
34,Ghostface Killers,"21 Savage, Offset,Metro Boomin,Travis Scott"
35,That's What I Like,Bruno Mars
36,Look What You Made Me Do,Taylor Swift
37,When It Rains It Pours,Luke Combs
38,What Ifs,"Kane Brown,Lauren Alaina"
39,Congratulations,"Post Malone,Quavo"
40,Do Re Mi,Blackbear
41,Something Just Like This,"The Chainsmokers,Coldplay"
42,The Weekend,SZA
43,How Long,Charlie Puth
44,XO TOUR Llif3,Lil Uzi Vert
45,Humble.,Kendrick Lamar
46,Pills And Automobiles,"Chris Brown,Yo Gotti, A Boogie Wit da Hoodie,Kodak Black"
47,Wild Thoughts,"DJ Khaled,Rihanna,Bryson Tiller"
48,Body Like A Back Road,Sam Hunt
49,Ric Flair Drip,"Offset,Metro Boomin"
50,Crew,"GoldLink,Brent Faiyaz,Shy Glizzy"
51,Greatest Love Story,LANCO
52,Unforgettable,Thomas Rhett
53,Silence,"Marshmello,Khalid"
54,Wolves,Selena Gomez X Marshmello
55,Roll In Peace,"Kodak Black,XXXTENTACION"
56,Love So Soft,Kelly Clarkson
57,I'll Name The Dogs,Blake Shelton
58,Plain Jane,A$AP Ferg
59,Every Little Thing,Carly Pearce
60,Let You Down,NF
61,Meant To Be,"Bebe Rexha,Florida Georgia Line"
62,Light It Up,Luke Bryan
63,Rap Saved Me,"21 Savage, Offset,Metro Boomin,Quavo"
64,Lemon,"N*E*R*D,Rihanna"
65,The Race,Tay-K
66,Like I Loved You,Brett Young
67,Let Me Go,"Hailee Steinfeld,Alesso,Florida Georgia Line,Watt"
68,Sky Walker,"Miguel,Travis Scott"
69,Losing Sleep,Chris Young
70,Fix A Drink,Chris Janson
71,Good Old Days,"Macklemore,Kesha"
72,My Choppa Hate N****s,"21 Savage,Metro Boomin"
73,Yours,Russell Dickerson
74,I Could Use A Love Song,Maren Morris
75,Round Here Buzz,Eric Church
76,Jocelyn Flores,XXXTentacion
77,Questions,Chris Brown
78,Rubbin Off The Paint,YBN Nahmir
79,Dusk Till Dawn,"Zayn,Sia"
80,Candy Paint,Post Malone
81,Pray,Sam Smith
82,F**k Love,"XXXTentacion,Trippie Redd"
83,Lights Down Low,"MAX,gnash"
84,Gorgeous,Taylor Swift
85,Transportin',Kodak Black
86,Relationship,"Young Thug,Future"
87,Mayores,"Becky G,Bad Bunny"
88,Sauce It Up,Lil Uzi Vert
89,Ask Me How I Know,Garth Brooks
90,Smooth,Florida Georgia Line
91,Broken Halos,Chris Stapleton
92,Wait,Maroon 5
93,Pull Up N Wreck,"Big Sean,Metro Boomin,21 Savage"
94,You Broke Up With Me,Walker Hayes
95,Go Flex,Post Malone
96,Patek Water,"Future,Young Thug,Offset"
97,Glorious,"Macklemore,Skylar Grey"
98,Mad Stalkers,"21 Savage, Offset,Metro Boomin"
99,Nightmare,"Offset,Metro Boomin"
100,Location,Khalid
101,Heartache On The Dance Floor,Jon Pardi
102,B.E.D.,Jacquees
103,Too Much To Ask,Niall Horan
104,Too Hotty,"Quality Control,Quavo, Takeoff,Offset"
105,All The Pretty Girls,Kenny Chesney
106,All On Me,Devin Dawson
107,More Girls Like You,Kip Moore
108,High End,"Chris Brown,Future,Young Thug"
109,Love Galore,"SZA,Travis Scott"
110,Butterfly Effect,Travis Scott
111,No Cap,"Future,Young Thug"
112,Feed Me Dope,Future
113,Escapate Conmigo,"Wisin,Ozuna"
114,All Da Smoke,"Future,Young Thug"
115,It's A Vibe,"2 Chainz,Ty Dolla $ign, Trey Songz,Jhene Aiko"
116,4 Da Gang,Future
117,Friends,Justin Bieber + BloodPop
118,Bedroom Floor,Liam Payne
119,Three,"Future,Young Thug"
120,Say You Won't Let Go,James Arthur
121,No Promises,"Cheat Codes,Demi Lovato"
122,Small Town Boy,Dustin Lynch
123,Curve,"Gucci Mane,The Weeknd"
124,Feels,"Calvin Harris,Pharrell Williams, Katy Perry,Big Sean"
125,Stunting Ain't Nuthin,"Gucci Mane,Slim Jxmmi,Young Dolph"
126,They Don't Know,Jason Aldean
127,Do I Make You Wanna,Billy Currington
128,Almost Like Praying,"Lin-Manuel Miranda,Artists For Puerto Rico"
129,Loyalty.,"Kendrick Lamar,Rihanna"
130,Heaven,Kane Brown
131,Dear Hate,"Maren Morris,Vince Gill"
132,No Promises,A Boogie Wit da Hoodie
133,Say A',A Boogie Wit da Hoodie
134,DNA,BTS
135,Redbone,Childish Gambino
136,Hi Bich,Bhad Bhabie
137,Undefeated,"A Boogie Wit da Hoodie,21 Savage"
138,Beast Mode,"A Boogie Wit da Hoodie,PnB Rock,YoungBoy Never Broke Again"
139,It Ain't My Fault,Brothers Osborne
140,No Such Thing As A Broken Heart,Old Dominion
141,Whatever You Need,"Meek Mill,Chris Brown,Ty Dolla $ign"
142,I'm The One,"DJ Khaled,Justin Bieber, Quavo, Chance The Rapper,Lil Wayne"
143,Stay,"Zedd,Alessia Cara"
144,Felices Los 4,Maluma
145,Back To You,"Louis Tomlinson,Bebe Rexha,Digital Farm Animals"
